Term	Direction	A549_FDR	Calu3_FDR	HepG2_FDR	U937_FDR	Lines_sig
wound healing	Down			2.45e-02		1
nephron epithelium morphogenesis	Down			2.45e-02		1
neurogenesis	Down			2.50e-02		1
collagen catabolic process	Down			2.50e-02		1
branching involved in ureteric bud morphogenesis	Down			2.53e-02		1
cardiac muscle cell differentiation	Down			2.53e-02		1
behavior	Down			2.53e-02		1
blood coagulation	Down			2.61e-02		1
metanephros development	Down			2.61e-02		1
renal tubule morphogenesis	Down			2.61e-02		1
nephron morphogenesis	Down			2.61e-02		1
regulation of catalytic activity	Down			2.61e-02		1
enzyme-linked receptor protein signaling pathway	Down			2.62e-02		1
mononuclear cell differentiation	Down			2.64e-02		1
negative regulation of transcription by RNA polymerase II	Down			2.72e-02		1
cell-cell recognition	Down			2.73e-02		1
eye development	Down			2.75e-02		1
hemopoiesis	Down			2.75e-02		1
programmed cell death	Down			2.75e-02		1
ventricular septum development	Down			2.77e-02		1
regulation of mononuclear cell migration	Down			2.77e-02		1
oligodendrocyte differentiation	Down			2.77e-02		1
skeletal system morphogenesis	Down			2.77e-02		1
cell death	Down			2.77e-02		1
canonical Wnt signaling pathway	Down			2.77e-02		1
regulation of apoptotic process	Down			2.77e-02		1
outflow tract septum morphogenesis	Down			2.77e-02		1
response to gonadotropin	Down			2.77e-02		1
metanephric nephron morphogenesis	Down			2.77e-02		1
glial cell differentiation	Down			2.77e-02		1
striated muscle tissue development	Down			2.77e-02		1
visual system development	Down			2.82e-02		1
positive regulation of response to stimulus	Down			2.82e-02		1
hemostasis	Down			2.86e-02		1
regulation of miRNA metabolic process	Down			2.86e-02		1
cellular response to cytokine stimulus	Down			2.87e-02		1
skeletal muscle cell differentiation	Down			2.87e-02		1
ossification	Down			2.90e-02		1
macrophage cytokine production	Down			2.95e-02		1
regulation of macrophage cytokine production	Down			2.95e-02		1
response to corticosteroid	Down			2.96e-02		1
camera-type eye morphogenesis	Down			2.97e-02		1
apoptotic process	Down			3.00e-02		1
neural crest cell development	Down			3.07e-02		1
cellular response to mechanical stimulus	Down			3.07e-02		1
eye morphogenesis	Down			3.09e-02		1
cytokine production	Down			3.10e-02		1
axon guidance	Down			3.14e-02		1
cardiac atrium morphogenesis	Down			3.16e-02		1
cellular response to leukemia inhibitory factor	Down			3.19e-02		1
positive regulation of MAPK cascade	Down			3.20e-02		1
regulation of peptidyl-tyrosine phosphorylation	Down			3.23e-02		1
regulation of smooth muscle cell differentiation	Down			3.23e-02		1
catecholamine transport	Down			3.23e-02		1
neuron projection guidance	Down			3.23e-02		1
cellular response to external stimulus	Down			3.23e-02		1
MAPK cascade	Down			3.23e-02		1
neuron differentiation	Down			3.23e-02		1
regulation of dopamine secretion	Down			3.23e-02		1
negative regulation of oligodendrocyte differentiation	Down			3.23e-02		1
extracellular matrix constituent secretion	Down			3.23e-02		1
urogenital system development	Down			3.23e-02		1
animal organ formation	Down			3.23e-02		1
embryonic organ morphogenesis	Down			3.25e-02		1
generation of neurons	Down			3.39e-02		1
positive regulation of leukocyte chemotaxis	Down			3.42e-02		1
muscle cell proliferation	Down			3.43e-02		1
response to growth factor	Down			3.45e-02		1
regulation of BMP signaling pathway	Down			3.46e-02		1
response to retinoic acid	Down			3.46e-02		1
response to leukemia inhibitory factor	Down			3.46e-02		1
prostate gland development	Down			3.48e-02		1
positive regulation of chemotaxis	Down			3.52e-02		1
negative regulation of cell communication	Down			3.56e-02		1
positive regulation of neurogenesis	Down			3.60e-02		1
cellular response to growth factor stimulus	Down			3.66e-02		1
negative regulation of signaling	Down			3.71e-02		1
negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	Down			3.77e-02		1
positive regulation of epithelial cell differentiation	Down			3.77e-02		1
muscle tissue morphogenesis	Down			3.77e-02		1
ureteric bud morphogenesis	Down			3.77e-02		1
negative regulation of cell-cell adhesion	Down			3.83e-02		1
ventricular septum morphogenesis	Down			3.83e-02		1
stem cell development	Down			3.83e-02		1
regulation of ossification	Down			3.83e-02		1
regulation of biological quality	Down			3.83e-02		1
secretion	Down			3.83e-02		1
negative regulation of epithelial cell proliferation	Down			3.83e-02		1
leukocyte activation involved in immune response	Down			3.90e-02		1
JNK cascade	Down			3.90e-02		1
defense response to tumor cell	Down			3.90e-02		1
cardioblast differentiation	Down			3.90e-02		1
venous blood vessel development	Down			3.90e-02		1
cellular response to gonadotropin stimulus	Down			3.90e-02		1
vascular associated smooth muscle cell development	Down			3.90e-02		1
metanephros morphogenesis	Down			3.90e-02		1
catecholamine secretion	Down			3.90e-02		1
trabecula formation	Down			3.90e-02		1
hair follicle development	Down			4.00e-02		1
cellular response to chemical stimulus	Down			4.01e-02		1
response to cytokine	Down			4.04e-02		1
cell junction assembly	Down			4.05e-02		1
exocrine system development	Down			4.10e-02		1
positive regulation of calcium-mediated signaling	Down			4.10e-02		1
negative regulation of protein modification by small protein conjugation or removal	Down			4.20e-02		1
vasculogenesis	Down			4.22e-02		1
regulation of phagocytosis	Down			4.22e-02		1
regulation of biomineral tissue development	Down			4.22e-02		1
regulation of stem cell differentiation	Down			4.22e-02		1
negative regulation of neuron differentiation	Down			4.22e-02		1
regulation of cartilage development	Down			4.22e-02		1
cell activation involved in immune response	Down			4.32e-02		1
reproductive structure development	Down			4.32e-02		1
myeloid leukocyte migration	Down			4.32e-02		1
positive regulation of neuroblast proliferation	Down			4.38e-02		1
embryonic eye morphogenesis	Down			4.38e-02		1
cell fate commitment involved in formation of primary germ layer	Down			4.38e-02		1
negative regulation of signal transduction	Down			4.38e-02		1
endocardial cushion development	Down			4.42e-02		1
negative chemotaxis	Down			4.42e-02		1
collagen fibril organization	Down			4.51e-02		1
negative regulation of muscle cell differentiation	Down			4.51e-02		1
leukocyte differentiation	Down			4.51e-02		1
regulation of cytokine production	Down			4.51e-02		1
positive regulation of phosphorylation	Down			4.56e-02		1
peptidyl-tyrosine phosphorylation	Down			4.60e-02		1
response to BMP	Down			4.60e-02		1
cellular response to BMP stimulus	Down			4.60e-02		1
cell projection organization	Down			4.60e-02		1
ovulation	Down			4.60e-02		1
positive regulation of astrocyte differentiation	Down			4.60e-02		1
bone trabecula morphogenesis	Down			4.60e-02		1
positive regulation of tumor necrosis factor-mediated signaling pathway	Down			4.60e-02		1
reproductive system development	Down			4.60e-02		1
regulation of transport	Down			4.60e-02		1
molting cycle process	Down			4.60e-02		1
hair cycle process	Down			4.60e-02		1
sensory organ development	Down			4.62e-02		1
odontogenesis	Down			4.65e-02		1
eye photoreceptor cell differentiation	Down			4.65e-02		1
dorsal/ventral pattern formation	Down			4.65e-02		1
photoreceptor cell differentiation	Down			4.65e-02		1
regulation of phosphate metabolic process	Down			4.65e-02		1
regulation of angiogenesis	Down			4.65e-02		1
regulation of body fluid levels	Down			4.65e-02		1
regulation of protein-containing complex assembly	Down			4.65e-02		1
cell junction organization	Down			4.65e-02		1
regulation of phosphorus metabolic process	Down			4.65e-02		1
response to peptide	Down			4.65e-02		1
regulation of muscle contraction	Down			4.65e-02		1
positive regulation of lamellipodium assembly	Down			4.65e-02		1
negative regulation of protein processing	Down			4.65e-02		1
vascular associated smooth muscle cell differentiation	Down			4.65e-02		1
regulation of hair cycle	Down			4.65e-02		1
ligand-gated ion channel signaling pathway	Down			4.65e-02		1
sensory organ morphogenesis	Down			4.71e-02		1
peptidyl-tyrosine modification	Down			4.71e-02		1
bone development	Down			4.71e-02		1
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	Down			4.71e-02		1
negative regulation of post-translational protein modification	Down			4.78e-02		1
gland development	Down			4.84e-02		1
regulation of phosphorylation	Down			4.85e-02		1
regulation of canonical Wnt signaling pathway	Down			4.85e-02		1
muscle organ morphogenesis	Down			4.87e-02		1
response to metal ion	Up			4.90e-02		1
response to cadmium ion	Up			4.90e-02		1
negative regulation of DNA-templated transcription	Down			4.96e-02		1
amino sugar metabolic process	Down			4.96e-02		1
neural crest cell differentiation	Down			4.97e-02		1
regulation of vasculature development	Down			4.99e-02		1
RNA processing	Up				1.39e-07	1
spliceosomal tri-snRNP complex assembly	Up				1.01e-03	1
RNA biosynthetic process	Up				1.25e-03	1
nucleic acid biosynthetic process	Up				1.25e-03	1
RNA metabolic process	Up				1.25e-03	1
spliceosomal snRNP assembly	Up				1.27e-03	1
nucleobase-containing compound biosynthetic process	Up				1.27e-03	1
nucleic acid metabolic process	Up				1.90e-03	1
protein-RNA complex assembly	Up				1.81e-02	1
protein-RNA complex organization	Up				1.81e-02	1
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	Up				2.80e-02	1
mRNA splicing, via spliceosome	Up				2.80e-02	1
RNA splicing, via transesterification reactions	Up				2.80e-02	1
RNA splicing	Up				4.87e-02	1
ribonucleoprotein complex biogenesis	Up				4.93e-02	1
mRNA processing	Up				4.93e-02	1
